# format_version: 2
# timestamp: 1783114766.3645787
# geometry_path: tests\data\geometry.yaml
# geometry_hash: bb9c0819498f021c9694f05d82376d7b2343c7fd2f525dba61faf9ead685ebd8
# sweep_path: tests\data\sweep.yaml
# sweep_hash: 0f8f709c8b309b4c0ffaa90c43e15288b39b937cec97088379444cceaffbb1a9
#
step_index,solver_converged,solver_max_residual,solver_nfev,camber_deg,caster_deg,kpi_deg,scrub_radius_mm,mechanical_trail_mm,roadwheel_angle_deg,svic_x_mm,svic_z_mm,svsa_length_mm,fvic_y_mm,fvic_z_mm,fvsa_length_mm,LOWER_WISHBONE_INBOARD_FRONT_x,LOWER_WISHBONE_INBOARD_FRONT_y,LOWER_WISHBONE_INBOARD_FRONT_z,LOWER_WISHBONE_INBOARD_REAR_x,LOWER_WISHBONE_INBOARD_REAR_y,LOWER_WISHBONE_INBOARD_REAR_z,LOWER_WISHBONE_OUTBOARD_x,LOWER_WISHBONE_OUTBOARD_y,LOWER_WISHBONE_OUTBOARD_z,UPPER_WISHBONE_INBOARD_FRONT_x,UPPER_WISHBONE_INBOARD_FRONT_y,UPPER_WISHBONE_INBOARD_FRONT_z,UPPER_WISHBONE_INBOARD_REAR_x,UPPER_WISHBONE_INBOARD_REAR_y,UPPER_WISHBONE_INBOARD_REAR_z,UPPER_WISHBONE_OUTBOARD_x,UPPER_WISHBONE_OUTBOARD_y,UPPER_WISHBONE_OUTBOARD_z,TRACKROD_INBOARD_x,TRACKROD_INBOARD_y,TRACKROD_INBOARD_z,TRACKROD_OUTBOARD_x,TRACKROD_OUTBOARD_y,TRACKROD_OUTBOARD_z,AXLE_INBOARD_x,AXLE_INBOARD_y,AXLE_INBOARD_z,AXLE_OUTBOARD_x,AXLE_OUTBOARD_y,AXLE_OUTBOARD_z,AXLE_MIDPOINT_x,AXLE_MIDPOINT_y,AXLE_MIDPOINT_z,WHEEL_CENTER_x,WHEEL_CENTER_y,WHEEL_CENTER_z,WHEEL_INBOARD_x,WHEEL_INBOARD_y,WHEEL_INBOARD_z,WHEEL_OUTBOARD_x,WHEEL_OUTBOARD_y,WHEEL_OUTBOARD_z,CONTACT_PATCH_CENTER_x,CONTACT_PATCH_CENTER_y,CONTACT_PATCH_CENTER_z
0,True,7.407569674200752e-07,183,0.6648829059592509,9.519874193373756,9.653038920209063,1.9701594283579205,27.096061994753498,1.066868170078858,-1007.5273098202924,-82.49120981110528,-1036.9653976765337,6653.055056856105,-5006.143160107575,-7825.875809475413,-73.83,198.32,363.68,-201.23,193.36,350.42,29.757620507633735,547.8646282139949,86.26823480691938,-5.28,191.01,535.74,-213.66,185.61,481.39,1.3272843482938015,519.029033014908,255.7999551173668,-176.80999960112678,195.2699997489934,453.94000136789435,-53.377630838435124,495.0005228323177,215.57353076025342,29.230897700940577,566.372151968281,174.29243579947266,30.199049327245778,618.3603849981534,173.68911668226264,29.714973514093177,592.3662684832173,173.99077624086766,29.4915640708678,580.3695296667979,174.1299973963157,27.83642093160458,491.4909233784425,175.16142622471872,31.14670721013102,669.2481359551533,173.09856856791268,29.43808785624131,577.4979403082516,-73.40174088669795
1,True,7.888656822356545e-07,159,0.6650587414837502,9.70218506788929,9.652038833348675,1.954175261736434,27.887436212400612,1.0840640603316567,-1011.4909437018276,-77.73720612382701,-1040.1362856147084,7132.846893701719,-5275.815793829567,-8368.755761101876,-73.83,198.32,363.68,-201.23,193.36,350.42,29.23306471795342,551.0409294438491,90.11998834748132,-5.28,191.01,535.74,-213.66,185.61,481.39,0.2629255188945945,522.2234021933974,259.56337413128335,-176.80999869278358,195.27000003345276,453.9399992991251,-54.32174225833158,498.2068019707375,219.1668496257205,28.434826712162845,569.5540804590656,178.14096254025935,29.41858122507221,621.5420188403848,177.53748727468493,28.926703968617527,595.5480496497253,177.83922490747216,28.699694024019845,583.5513788778796,177.97848209491718,27.017876335242086,494.6732764392821,179.01017787172364,30.381511712797604,672.4294813164771,176.94678631811072,28.645341912880742,580.6790624943566,-69.55324756211277
2,True,4.858009414531016e-07,144,0.6639794127782099,9.88465759588342,9.653540644264275,1.9376075048457388,28.685641677753132,1.0939512976706611,-1015.2678942496118,-72.98837816596841,-1043.1175170474307,7655.981542015133,-5565.68180238471,-8959.107519921785,-73.83,198.32,363.68,-201.23,193.36,350.42,28.71126800050739,554.1457681718222,93.97193465086103,-5.28,191.01,535.74,-213.66,185.61,481.39,-0.7986729805178366,525.3392030621959,263.32400874603337,-176.8100009590036,195.26999998020045,453.94000053657857,-55.25853892604466,501.32834122619954,222.755994784665,27.637098572839527,572.6626781006341,181.98918322006844,28.629824578510213,624.6504573051682,181.38668927141003,28.133461575674872,598.6565677029012,181.68793624573925,27.904381380512675,586.6599336485956,181.82696698589746,26.20722610940792,497.78210330466646,182.85698511268515,29.60153665161743,675.5377639925248,180.79694885910976,27.84962279781896,583.7922973719466,-65.70481684446739
3,True,5.011902879646399e-07,135,0.6617228340381628,10.06729883584952,9.65738726295469,1.9204572187001911,29.49006598758061,1.0973936103127462,-1018.8731264763487,-68.24526736402694,-1045.9246379613517,8228.784207246266,-5878.8443017909385,-9603.99241297083,-73.83,198.32,363.68,-201.23,193.36,350.42,28.192153206865136,557.1810698177471,97.82413254158732,-5.28,191.01,535.74,-213.66,185.61,481.39,-1.8576059381261052,528.3788381309332,267.08199273524076,-176.8100011053153,195.2699999818946,453.9400001784667,-56.18856691632834,504.36836639516514,226.34127394995733,26.838131733272824,575.6999008537846,185.83711659798263,27.833981600584817,627.6876440123392,185.23667086429958,27.33605666692882,601.6937724330619,185.5368937311411,27.106255613447217,589.6971466984882,185.67545182778608,25.403759817222667,500.81937798266284,186.7019683449953,28.808751409671768,678.5749154143134,184.64893531057686,27.051511485002994,586.8392624104888,-61.85644478967373
4,True,3.6544263082305406e-07,140,0.6583634970103749,10.25011472095034,9.663435919806195,1.9027248494196825,30.300189940060257,1.0951343125161432,-1022.3200489881282,-63.50829387499172,-1048.571542706598,8858.884596713924,-6219.039014631497,-10311.920592809136,-73.83,198.32,363.68,-201.23,193.36,350.42,27.675644108493255,560.1486494351145,101.67663757736692,-5.28,191.01,535.74,-213.66,185.61,481.39,-2.91396336575637,531.3445567919973,270.83744867971643,-176.80999941950697,195.27000013569491,453.93999946012906,-57.11230358673506,507.32983332770885,229.92296223648373,26.038275743350436,578.6676016525942,189.68478082185305,27.032076291180946,630.6554191729019,189.08738275715672,26.53517601726569,604.661510412748,189.38608178950489,26.30584786265361,592.6648675448523,189.5239366096141,24.606855565388344,503.7869717623889,190.54524285917904,28.004840159918878,681.5427633273158,188.50263036004918,26.251493718469682,589.8214868126971,-58.00812711991372
5,True,3.1414063528245606e-07,128,0.653971830369636,10.433110237251945,9.671556536604125,1.8844102097654813,31.115569287169908,1.0878193439842199,-1025.6207088675833,-58.77777619565964,-1051.0706874405791,9555.570174597919,-6590.80600131003,-11093.243889604979,-73.83,198.32,363.68,-201.23,193.36,350.42,27.161665260363847,563.0502199116463,105.5295019424323,-5.28,191.01,535.74,-213.66,185.61,481.39,-3.9678311974279104,534.2384684017584,274.59048869625224,-176.80999937264076,195.27,453.93999959965345,-58.03017167529903,510.2154649134239,233.50130660912052,25.237824380709725,581.5675361579387,193.53219323905668,26.224988486300024,633.5555257061079,192.93877854986755,25.731406433504873,607.5615309320233,193.2354858944621,25.503609695454372,595.5648483441826,193.37242151615158,23.815962997923368,506.6866584106255,194.38691782411613,27.191256392985377,684.4430382777396,192.35792520818703,25.449978572995757,592.7404200469566,-54.1598593505195
6,True,2.8152527718061355e-06,31,0.6486111453421669,10.616290660037853,9.681629375251397,1.865513163288866,31.93580967983552,1.0760306343144095,-1028.7859754007513,-54.05395187176282,-1053.4333124004163,10330.264431823061,-6999.7232372757635,-11960.688235220166,-73.83,198.32,363.68,-201.23,193.36,350.42,26.65015237841665,565.8873924626415,109.38277164207639,-5.28,191.01,535.74,-213.66,185.61,481.39,-5.019284874616747,537.062549696559,278.3412132847243,-176.80999666465738,195.2700003240343,453.9399984406273,-58.94254575949308,513.0277858087776,237.07652744835858,24.43704673948036,584.4013556030137,197.37936911922648,25.41351523949971,636.3896024038793,196.7908162259538,24.925280989490034,610.3954790034466,197.08509267259012,24.69995235575378,598.3987370483808,197.22090639245926,23.0305907672008,509.5201073088067,198.22709101883657,26.36931394430676,687.2773667879549,196.21472176608194,24.64733699966487,595.5974381659166,-50.311637526023134
7,True,6.087907938892511e-07,124,0.6423442827693526,10.799660675682063,9.693544773842252,1.8460327048596632,32.76058554190056,1.0602612887036138,-1031.8256656570506,-49.3369882959862,-1055.6695361375007,11197.173880169577,-7452.720259062864,-12930.072626465617,-73.83,198.32,363.68,-201.23,193.36,350.42,26.141041629782336,568.6616925502677,113.2364916833073,-5.28,191.01,535.74,-213.66,185.61,481.39,-6.068397249387188,539.818661603159,282.0897162916108,-176.80999880439313,195.2700001068521,453.9399996015881,-59.849752455409266,515.7691198411754,240.64882342183486,23.63616073860091,587.1706330426756,201.226323695165,24.598321817758055,639.1592106670158,200.64345415314338,24.117241278179485,613.1649218548457,200.9348889241542,23.895214207217215,601.1681035845221,201.06939116080832,22.250312455188784,512.288908331004,202.06585958137177,25.540115959245647,690.0472988380402,200.07292274024488,23.84387048045005,598.3938411638305,-46.46345751670131
8,True,4.0059407366109547e-07,106,0.6352253695689793,10.983223756256617,9.707202064149309,1.8259681636413458,33.58959323875716,1.0409700898814938,-1034.7486659217511,-44.62699132966094,-1057.7885208956272,12174.188508319357,-7958.51596156309,-14021.310422211805,-73.83,198.32,363.68,-201.23,193.36,350.42,25.634269404442247,571.3745622697278,117.09070160767186,-5.28,191.01,535.74,-213.66,185.61,481.39,-7.115237026185343,542.5085547689033,285.83608157517466,-176.809999273618,195.27000001556598,453.93999934118824,-60.75209772861196,518.4416489971146,244.21837550656326,22.83536534499206,589.87685297139,205.07307038289855,23.780023386114447,641.8658235336383,204.4966567887239,23.307694365553253,615.8713382525141,204.78486358581122,23.089706273118583,603.874429289519,204.91787605633257,21.474727553504586,514.9945622289346,205.90330744818547,24.70468499273258,692.7542963501033,203.93244466447968,23.03985497387606,601.1308780614683,-42.61531522125557
9,True,3.1414063528245606e-07,115,0.6273074296064184,11.166984282498875,9.722507815815112,1.805318281364892,34.422580744327576,1.0185527951649862,-1037.56305450511,-39.92402208780496,-1059.7985819491464,13284.162703354214,-8528.242354972434,-15259.834202623826,-73.83,198.32,363.68,-201.23,193.36,350.42,25.129781741926607,574.0273645926931,120.94543879242708,-5.28,191.01,535.74,-213.66,185.61,481.39,-8.15986583456327,545.1338790965859,289.58038676311855,-176.80999955597756,195.27,453.9399999515776,-61.64984456810651,521.047390117309,247.78534563535413,22.034833010648544,592.5214240111193,208.91962192999807,22.959151410101487,644.510839284707,208.35038890903974,22.496992210375016,618.5161316479132,208.6350054195189,22.283697667833344,606.5191200614815,208.76636091009095,20.703491412895506,517.6384927208304,209.73951645991878,23.863903922771183,695.3997474021327,207.79320536026313,22.235527444036492,603.8097270965916,-38.767206938698706
